service_id,date,exception_type
L0S1,20220715,1
L0S2,20220716,1
L0S2 -1,20220715,1
L0S3,20220717,1
L0S4,20220718,1
L0S4 -1,20220717,1
L0S5,20220719,1
L0S6,20220720,1
L0S7,20220721,1
L0S8,20220722,1
L0S9,20220723,1
L1S1,20220715,1
L1S1 -1,20220714,1
L1S2,20220716,1
L1S3,20220717,1
L1S4,20220718,1
L1S5,20220719,1
L1S6,20220720,1
L1S7,20220721,1
L1S8,20220722,1
L1S9,20220723,1
L2S1,20220715,1
L2S2,20220718,1
L2S3,20220719,1
L2S4,20220720,1
L2S5,20220721,1
L2S6,20220722,1
L3S1,20220719,1
L3S2,20220720,1
L3S3,20220721,1
L3S4,20220722,1
SIR-FA2017-SI017-Saturday-00_C16,20220716,2
SIR-FA2017-SI017-Saturday-00_C16,20220723,2
SIR-FA2017-SI017-Sunday-00_C62,20220717,2
SIR-FA2017-SI017-Weekday-08,20220704,2
SIR-FA2017-SI017-Weekday-08,20220905,2
SIR-FA2017-SI017-Weekday-08,20221124,2
SIR-FA2017-SI017-Weekday-08_C22,20220704,2
SIR-FA2017-SI017-Weekday-08_C22,20220718,2
SIR-FA2017-SI017-Weekday-08_C22,20220905,2
SIR-FA2017-SI017-Weekday-08_C22,20221124,2
SIR-FA2017-SI017-Weekday-08_C23,20220704,2
SIR-FA2017-SI017-Weekday-08_C23,20220719,2
SIR-FA2017-SI017-Weekday-08_C23,20220720,2
SIR-FA2017-SI017-Weekday-08_C23,20220721,2
SIR-FA2017-SI017-Weekday-08_C23,20220905,2
SIR-FA2017-SI017-Weekday-08_C23,20221124,2
SIR-FA2017-SI017-Weekday-08_C24,20220704,2
SIR-FA2017-SI017-Weekday-08_C24,20220721,2
SIR-FA2017-SI017-Weekday-08_C24,20220905,2
SIR-FA2017-SI017-Weekday-08_C24,20221124,2
SIR-FA2017-SI017-Weekday-08_C77,20220704,2
SIR-FA2017-SI017-Weekday-08_C77,20220718,2
SIR-FA2017-SI017-Weekday-08_C77,20220719,2
SIR-FA2017-SI017-Weekday-08_C77,20220720,2
SIR-FA2017-SI017-Weekday-08_C77,20220721,2
SIR-FA2017-SI017-Weekday-08_C77,20220905,2
SIR-FA2017-SI017-Weekday-08_C77,20221124,2
SIR-FA2018-SI017-Saturday-00,20220704,1
SIR-FA2018-SI017-Sunday-00,20220905,1
SIR-SP2018-SI017-Sunday-00,20221124,1
